,Unnamed: 0,statement_id,statement,creator,validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_difficult_words.1,True_gunning_fog,True_text_standard,characters,words,avg_word_length,numbers,sentences,unique_word_ratio,sentiment_index,hatred_index,support,opposed,neutral,Label,pred_label
0,41,5,"It seems that the [infectious agent] traveled by [mode of transportation] on [type of roads]; and that Â“soloÂ” [mode of transportation], i.e. traveling by [type of vehicle], that now seems to be perceived by the public as a [solution], was probably one of the means which favored the initial spread.",bard,False,63.02,0.0,10.7,9.46,14.5,10.25,11,16.0,11,14.8,14th and 15th grade,300,51,4.49,0,4,0.71,0.0205,0.0325,0.155921146,0.053321861,0.790757,0,1
1,48,19,"Individuals with a previous natural infection did not produce as many antibodies after the two doses of vaccine as individuals who had not been infected. Among the individuals with no history of past SARS-CoV-2 infection, 5% had an antibody level at the same order of magnitude of infected people, suggesting that they acquired the infection in an asymptomatic way. In such individuals, one dose of vaccine may not be sufficient to obtain a protective immune response.",bard,False,28.88,17.5,15.5,12.31,15.6,9.88,19,19.0,19,16.44,15th and 16th grade,468,75,5.13,1,3,0.73,0.0179,0.0438,0.004741267,0.992184937,0.003073853,0,1
2,4,37,"""The initial phase of the COVID-19 pandemic resulted in a 17% decrease in the volume of brain MRI scans in the United States, which led to a decrease in the early detection and treatment of brain tumors",bard,False,50.84,0.0,15.4,8.72,18.2,11.45,8,21.5,8,18.04,-1th and 0th grade,202,36,4.47,1,1,0.69,0.0093,0.022,0.010709826,0.983582139,0.005708035,0,1
3,152,71,Early experience with COVID-19 patients suggests that gastrointestinal symptoms are common and associated with greater severity of illness.,human,True,19.37,0.0,15.0,21.11,19.5,15.06,9,13.0,9,16.09,14th and 15th grade,139,18,6.72,0,1,0.94,0.019,0.017,0.984045863,0.00713312,0.008820993,1,1
4,84,3,"We found that age, symptom onset between 3 and 14 days, fever or history of fever, cough, sore throat, ageusia (loss of taste), anosmia (loss of smell), chest pain, myalgia (muscle aches and pains) and/or arthralgia (join pain), household cluster, and evidence of confirmed cases in the neighbourhood could help discriminate infected patients from uninfected.",human,True,24.11,0.0,23.6,13.65,32.2,12.68,17,33.5,17,25.64,12th and 13th grade,359,54,5.22,2,1,0.81,0.0441,0.0481,0.986023068,0.001984976,0.01199201,1,1
5,115,34,"The COVID-19 epidemic could be controlled by alternating one or two weeks of complete lockdown with one or two months of freedom, respectively. Control strategies of this kind, where the lockdownÂ’s duration is well circumscribed, could be important also to alleviate coronavirus impact on economy.",human,True,40.18,0.0,13.2,14.74,16.3,11.42,14,15.75,14,16.11,15th and 16th grade,298,46,5.39,0,2,0.85,0.1093,0.0428,0.924985051,0.014407945,0.060607105,1,1
6,82,1,"We evaluated 298 persons and identified twelve positive cases. 75% of the positive cases were asymptomatic, while only 25% of positive cases reported symptoms that included fever, diarrhea, and cough. Our data confirm the importance of early identification of asymptomatic carriers.",human,True,32.19,15.0,12.2,15.25,13.2,11.25,15,11.16666667,15,15.24,11th and 12th grade,282,38,5.97,3,3,0.74,0.365,0.0181,0.994333982,0.002314164,0.003351922,1,1
7,35,17,"The evaluation results showed high diagnosis accuracies, ranging from 89 to 99 percent. The proposed methods for early detection and classification of COVID-19 through image processing using X-ray images were proven to be usable since they provided end-to-end structures without the need for manual feature extraction and manual selection methods.",bard,False,29.18,0.0,15.4,16.77,19.1,13.72,21,18.0,21,18.0,17th and 18th grade,347,48,6.06,2,2,0.88,0.5858,0.0212,0.990638852,0.003545454,0.005815754,0,1
8,169,1,"we rated 298 people and identified twelve positive cases. 75% of positive cases were asymptomatic, while only 25% of positive cases reported symptoms containing fever, diarrhea and cough. our knowledge confirms the importance of early identification of asymptomatic carriers.",augmented,True,32.9,14.6,11.9,16.05,13.7,11.16,14,10.5,14,14.43,11th and 12th grade,275,36,6.19,3,3,0.75,0.4261,0.0208,0.994092762,0.002224058,0.003683149,1,1
9,69,12,"A significant number of people who are infected with the virus do not show any clinical symptoms; current estimates suggest that approximately 1 in 3 individuals who have SARS-CoV-2 antibodies in their blood are asymptomatic. These individuals may carry the virus and potentially spread it to others, who may experience severe COVID-19 disease.",bard,False,27.66,0.0,16.0,14.22,17.8,12.1,16,18.75,16,18.15,17th and 18th grade,344,51,5.61,2,3,0.84,0.0107,0.067,0.991494775,0.003252366,0.005252854,0,1
