statement_id,statement,creator,validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_difficult_words.1,True_gunning_fog,True_text_standard,characters,words,avg_word_length,numbers,sentences,unique_word_ratio,sentiment_index,hatred_index,support,opposed,neutral
4,Mechanical Ventilation was required for all patients treated with anakinra and only 27% were able to be successfully weaned off of supplemental oxygen.,human,FALSE,31.21,0,14.6,15.03,16.5,12.33,9,15.5,9,16.16,15th and 16th grade,151,22,5.68,1,1,1,0.0267,0.0171,0.005452668,0.992188334,0.002359092
0,"If you are taking a drug for rheumatoid arthritis, you will be able to be successfully weaned off supplemtal oxygen.",human,FALSE,59.64,0,9.9,10.27,11.4,10.16,5,12,5,12,9th and 10th grade,116,20,4.75,0,1,0.9,0.2977,0.0253,0.001249903,0.998017907,0.000732171
0,"mRNA vaccines have shown to fight COVID-19 better than other vaccines, and this is why they were the first vaccines authorized world wide.",human,FALSE,73.51,0,8.7,11.49,13.8,8.9,3,12.5,3,10.94,8th and 9th grade,138,23,4.96,0,1,0.91,0.9249,0.0279,0.002442364,0.995709777,0.001847862
0,mRNA vaccines will prevent you from getting COVID19.,human,FALSE,71.82,0,5.2,12.25,9.1,11.93,3,3,3,3.2,11th and 12th grade,52,8,5.5,0,1,1,0.0371,0.0498,0.004675948,0.989279687,0.006044304
23,"Among 100,000 airline travelers, with testing and screening, there are 649 actively infectious passengers. A pre-travel PCR test will reduce the number of infected passengers to 500. A rapid antigen test on the day of travel would reduce th number of infected passengers to less than 500.",human,FALSE,55.54,13,9.4,11.42,10.7,10.8,11,10.83333333,11,10.54,10th and 11th grade,288,43,5.14,4,3,0.74,0.0284,0.0966,0.013454621,0.980297208,0.006248208
0,"For every 100,000 travelers, a pre travel PCR test or a rapid antigen test will eliminate any infected passengers from flights.",human,FALSE,58.62,0,10.3,11.43,13.1,13.7,6,14.5,6,16.02,13th and 14th grade,127,20,4.9,1,1,0.9,0.0796,0.0721,0.00084021,0.997984409,0.0011754
16,"Pure Silver and silver contained in stainless steel surfaces actively inhibit the spread of SARS-CoV-2 and H1N1 viruses. On the other hand, surfaces high in copper contact do not.",human,FALSE,65.22,0,7.8,11.3,10.4,10.35,7,7.25,7,8.56,7th and 8th grade,179,29,5.1,0,2,0.86,0.0424,0.088,0.007809842,0.986560106,0.005630108
0,Steel surface stop the spread of covid. Copper surfaces increase the rate viruses spread.,human,FALSE,81.29,0,3.7,10.74,7.6,8.5,3,2.5,3,2.8,2nd and 3rd grade,89,14,5.29,0,2,0.86,0.033,0.3006,0.857790709,0.087818161,0.054391164
25,Results from hospitalized patients indicate that viral shedding in fecal matter occurs for three weeks following a positive PCR test from a nasal swab and two weeks following a negative result from a nasal swab.,human,FALSE,35.95,0,16.9,12.49,19.9,12.14,11,23.5,11,18.57,11th and 12th grade,211,35,5.03,0,1,0.74,0.0175,0.0282,0.002801091,0.996098042,0.001100844
0,Viral shedding of fecal matter following a positive PCR test can last for a month.,human,FALSE,64.71,0,8,8.05,7.4,9.64,4,8.5,4,8.67,8th and 9th grade,82,15,4.47,0,1,0.93,0.0209,0.0403,0.001456897,0.997694552,0.000848438
0,COVID-19 patients with asthma have a significant mortality rate regardless of country.,human,FALSE,33.92,0,11.5,17.1,14,13.44,5,8,5,14.8,11th and 12th grade,86,12,6.17,0,1,1,0.0148,0.0181,0.0067975,0.987851202,0.005351313
0,"If you have asthma and contract COVID-19, you will die.",human,FALSE,95.17,0,2.5,6.18,5.2,10.45,2,4,2,4,3rd and 4th grade,55,10,4.4,0,1,0.9,0.0117,0.0404,0.002371565,0.995505214,0.002123134
5,A need for mechanical ventilation occurred in 68% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was attained in 63% of the anakinra-treated group compared with 57% of the control group.,human,FALSE,52.19,0,10.7,12.94,13.6,11.23,12,12.5,12,11.81,12th and 13th grade,243,34,5.65,4,2,0.65,0.2833,0.0209,0.001918886,0.995812356,0.002268733
5,A need for mechanical ventilation occurred in 68% of the anakinra-treated group and 75% of the control group. Successful weaning from supplemental oxygen was only attained in 43% of the anakinra-treated group compared with 54% of the control group.,human,FALSE,51.68,0,10.9,12.76,13.7,11.08,12,12.75,12,11.9,12th and 13th grade,248,35,5.6,4,2,0.66,0.0428,0.022,0.001803764,0.996285558,0.001910707
16,Grouping samples into pools of five for PCR testing resulted in an increase in coronavirus testing capacity with only an 18% higher false-positive rate than individual testing.,human,FALSE,18.69,0,17.4,14.57,18.3,12.58,10,18.5,10,18.21,18th and 19th grade,176,26,5.62,1,1,0.85,0.0359,0.0182,0.022176979,0.975103438,0.002719607
0,Grouping samples into pools of five for PCR testing resulted in an increase in coronavirus testing capacity but a 62% higher rate of false-positives.,human,FALSE,38.66,0,13.8,12.77,15.3,12.72,9,16,9,16.27,12th and 13th grade,149,23,5.3,1,1,0.87,0.0227,0.021,0.01907707,0.977800727,0.003122197
16,"In the phase 1 trial, the potential vaccine formula caused a strong antibody response that remained elevated in all participants permanently after the second vaccination. In the phase 2 trial, the potential vaccine formula showed better safety outcomes.",human,FALSE,26.81,0,14.2,15.08,14.8,11.64,12,14,12,14.97,14th and 15th grade,253,36,5.83,2,2,0.72,0.5423,0.0216,0.002126214,0.996817589,0.001056212
16,"In the phase 1 trial, the potential vaccine formula caused a strong antibody response that remained elevated in all participants permanently after the second vaccination. In the phase 2 trial, the potential vaccine formula showed similar safety outcomes.",human,FALSE,26.81,0,14.2,15.26,15,12.06,13,14.5,13,16.02,14th and 15th grade,254,36,5.86,2,2,0.72,0.1303,0.0212,0.002037815,0.996955037,0.001007123
0,We found that the number of cases of SARS-CoV-2 infection doubled every 3 days in barracks-style buildings. The corresponding doubling time for apartment-style buildings was 4 days.,human,FALSE,66.23,0,7.4,14.14,12.4,12.49,7,6.75,7,8.36,6th and 7th grade,181,25,6.04,2,2,0.88,0.0248,0.0377,0.002919841,0.995063007,0.002017116
0,We found that the number of cases of SARS-CoV-2 infection doubled every 1.56 days in apartment-style buildings. The corresponding doubling time for office-style buildings was 2.65 days.,human,FALSE,62.34,8.8,6.8,13.37,10.8,12.27,6,4.5,6,6.56,6th and 7th grade,185,25,5.96,2,2,0.88,0.0301,0.0454,0.002659615,0.995963335,0.001377056
20,"Different amounts of antibodies produced after the two doses of vaccine were found. Individuals with a previous natural infection developed a higher antibody level. Among the individuals with no history of past SARS-CoV-2 infection, 5% had an antibody level at the same order of magnitude of infected people, suggesting that they acquired the infection in an asymptomatic way. In such individuals, a vaccine is unnecessary to obtain a protective immune response.",human,FALSE,28.03,15.9,13.8,13.63,13.4,10.3,21,13.875,21,14.44,13th and 14th grade,462,70,5.47,1,4,0.74,0.0282,0.0501,0.001915906,0.99669528,0.001388816
20,"Different amounts of antibodies produced after the two doses of vaccine were found. Individuals with a previous natural infection developed a higher antibody level. Among the individuals with no history of past SARS-CoV-2 infection, 65% had an antibody level at the same order of magnitude of infected people, suggesting that they acquired the infection in an asymptomatic way. In such individuals, a vaccine is unnecessary to obtain a protective immune response.",human,FALSE,28.03,15.9,13.8,13.69,13.5,10.3,21,13.875,21,14.44,13th and 14th grade,463,70,5.47,1,4,0.74,0.0279,0.0501,0.001929644,0.996673226,0.001397118
25,"It is discovered that pure silver and silver-contained stainless steel surfaces do not display inhibitory effects on SARS-CoV-2 and H1N1 viruses. In comparison, both pure copper and stainless steel exhibit significant antiviral properties.",human,FALSE,37.81,0,12.1,17.75,16.4,12.59,13,12.25,13,15.08,12th and 13th grade,239,33,6.18,0,2,0.85,0.143,0.0697,0.003113616,0.995312095,0.001574302
0,"It is discovered that pure silver, pure copper. and most commonly used stainless steel surfaces do not display inhibitory effects on SARS-CoV-2 and H1N1 viruses.",human,FALSE,67.25,0,7,12.46,10.6,11.84,8,6.75,8,9.8,6th and 7th grade,161,25,5.36,0,2,0.92,0.0612,0.0609,0.000590834,0.998660088,0.000749036
29,"Local and systemic reactions after a third Moderna vaccine, reported by the immunocompromised and seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue, myalgia, and heartburn were the most frequent systemic side effects reported (19.6%, 9.2%, and 8.1% respectively).",human,FALSE,31.58,13.6,12.4,16.64,15.6,13.53,19,10.5,19,12.23,13th and 14th grade,315,40,6.25,3,2,0.8,0.0188,0.0202,0.003036204,0.995360672,0.001603135
29,"Local and systemic reactions after a third Johnson and Johnson vaccine, reported by the immunocompromised and seniors, were similar to those observed following previous vaccines and mostly self-resolved. Fatigue, myalgia, and fever were the most frequent systemic side effects reported (19.6%, 9.2%, and 8.1% respectively).",human,FALSE,39.33,13,11.5,15.88,15.3,12.8,18,10.5,18,11.33,11th and 12th grade,323,42,6.1,3,2,0.76,0.0216,0.0208,0.003790485,0.994626939,0.001582517
37,"Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis (16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, sickle cell, and cardiovascular disease.",human,FALSE,33.92,11.9,11.5,15.82,14,15.2,14,7.333333333,14,12.58,11th and 12th grade,260,34,6.09,2,2,0.88,0.012,0.0586,0.014676915,0.98080039,0.004522701
37,"Female COVID-19 patients had a higher risk of severe dengue than male patients in the main analysis (16.2% vs 10.5%). Pre-existing comorbidities associated with severe disease were diabetes, hypertension, renal disease, pregnancy and cardiovascular disease.",human,FALSE,34.22,12.5,11.4,16.34,14.4,15.5,14,7.5,14,13.82,15th and 16th grade,257,33,6.24,2,2,0.88,0.0116,0.0642,0.014604469,0.980999053,0.004396536
17,"We estimate that among 100,000 non-native travelers, with no testing or screening, there would be 649 actively infectious passengers. A pre-travel PCR test would reduce the number of infected passengers to 569. A rapid antigen test on the day of travel would reduce the number of infected passengers to 560.",human,FALSE,54.52,14.1,9.8,11.42,11.2,11.1,12,12,12,11.48,11th and 12th grade,307,46,5.15,4,3,0.7,0.015,0.157,0.004711856,0.993074059,0.002214037
17,"We estimate that among 100,000 public transit travelers, with no testing or screening, there would be 649 actively infectious passengers. A pre-travel PCR test would reduce the number of infected passengers to 569. A rapid antigen test on the day of travel would reduce the number of infected passengers to 560.",human,FALSE,54.22,13.6,9.9,11.31,11.2,10.67,12,11.83333333,12,11.51,11th and 12th grade,311,47,5.11,4,3,0.7,0.0161,0.088,0.005651745,0.991469681,0.002878577
