,statement_id,statement,creator,validity,True_fleshes,True_smog_index,True_flesch_kincaid_grade,True_coleman_liau_index,True_automated_readability_index,True_dale_chall_readability_score,True_difficult_words,True_linsear_write_formula,True_difficult_words.1,True_gunning_fog,True_text_standard,characters,words,avg_word_length,numbers,sentences,unique_word_ratio,sentiment_index,hatred_index,support,opposed,neutral,Label
20,16,"In the phase 1 trial, the potential vaccine formula caused a robust antibody response that remained elevated in all participants 6 months after the second vaccination. In the phase 2 trial, the potential vaccine formula demonstrated improved safety outcomes compared to previous trials",chatgpt,False,24.27,0.0,15.2,15.08,15.9,13.15,17,15.75,17,16.04,15th and 16th grade,285,40,5.92,3,2,0.75,0.7804,0.0121,0.000964771,0.998273015,0.000762243,0
90,1,"We evaluated 298 persons and identified twelve positive cases. 75% of the positive cases were asymptomatic, while only 25% of positive cases reported symptoms that included fever, diarrhea, and cough. Our data confirm the importance of early identification of asymptomatic carriers.",human,True,32.19,15.0,12.2,15.25,13.2,11.25,15,11.16666667,15,15.24,11th and 12th grade,282,38,5.97,3,3,0.74,0.365,0.0181,0.994333982,0.002314164,0.003351922,1
129,40,"Close, frequent contact with patients and those exposed to patients with cough symptoms are associated with an increased risk of infection.",human,True,50.16,0.0,11.5,15.03,15.8,11.45,8,12.5,8,12.21,11th and 12th grade,139,21,5.57,0,1,0.86,0.0234,0.0204,0.993491232,0.003425035,0.003083653,1
139,50,"Over the 14-day study period, six patients survived, two were extubated, and one discharged. The results implicate white blood cells as a therapeutic target for COVID-19.",human,True,58.28,0.0,8.4,12.63,11.4,12.18,9,7.5,9,11.35,7th and 8th grade,170,26,5.27,1,2,1.0,0.209,0.0167,0.456876159,0.004949316,0.53817451,1
120,31,Early nutritional screening is therefore an important step in order to perform an adequate nutritional intervention as part of COVID-19 management.,human,True,16.32,0.0,16.2,17.23,17.6,11.45,7,16.5,7,16.02,16th and 17th grade,147,21,6.0,0,1,0.9,0.4614,0.008,0.992131293,0.002948889,0.004919813,1
57,19,"Different ranges of antibodies produced after the two doses of vaccine were found. Individuals with a previous natural infection developed a higher antibody level. Among the individuals with no history of past SARS-CoV-2 infection, 10% had an antibody level at the same order of magnitude of infected people, suggesting that they acquired the infection in an asymptomatic way. In such individuals, two doses of the vaccine may be necessary to obtain a protective immune response.",chatgpt,False,35.47,15.9,13.0,13.29,13.4,10.04,21,14.375,21,14.45,12th and 13th grade,479,74,5.34,1,4,0.72,0.0363,0.0467,0.004183795,0.993449509,0.002366622,0
69,17,"We explored the infectability of the central nervous system. Initial reports from Wuhan indicated that a certain percentage of COVID-19 patients exhibited neurological symptoms, while subsequent European studies showed an even higher proportion, reaching up to 80%. Cases of viral encephalitis have been reported in connection with the infection.",chatgpt,False,29.55,14.6,13.2,16.88,15.4,14.11,25,12.16666667,25,16.32,14th and 15th grade,346,48,6.04,1,3,0.92,0.0343,0.0381,0.673146427,0.209437579,0.117416017,0
3,25,Results from hospitalized patients indicate that viral shedding in fecal matter occurs only after 10 days of a positive PCR test obtained from a nasal swab and that shedding in feces could continue for up to 20 days following a negative nasal swab.,chatgpt,False,27.83,0.0,20.1,11.27,22.6,12.75,13,27.5,13,21.85,12th and 13th grade,248,41,4.9,2,1,0.78,0.0168,0.0279,0.005953777,0.991577268,0.002468946,0
101,12,"A substantial number of infected healthcare workers were asymptomatic 28.9%, and 35.5% were admitted to hospital. The mean length of hospital stay was 8.1 days. 70.1% of confirmed cases had been vaccinated against seasonal influenza.",human,True,55.91,10.8,7.2,11.2,8.9,12.56,11,4.3,11,10.8,10th and 11th grade,233,31,5.71,4,3,0.87,0.0261,0.0379,0.993058324,0.0038395,0.003102174,1
14,17,"Without the initial lockdown, vaccination, and increased physical distancing, we hypothesized that only 48 million COVID-19 cases, and 1.1 million deaths would occur in the UK over 10 years. In the worst-case scenario, vaccination exacerbates community transmission, necessitating future periods of decreased physical distancing",chatgpt,False,22.71,14.6,13.7,18.38,16.4,13.34,17,11.33333333,17,14.06,13th and 14th grade,328,41,6.61,3,2,0.83,0.0273,0.0537,0.002260238,0.995212913,0.002526855,0
84,0,We found that the number of cases of SARS-CoV-2 infection doubled every 3.21 days in barracks-style buildings. The corresponding doubling time for apartment-style buildings was 5.37 days.,chatgpt,False,70.8,7.8,5.6,13.83,11.1,13.44,7,4.166666667,7,6.56,6th and 7th grade,187,25,6.04,2,2,0.88,0.0267,0.0382,0.003343885,0.994877696,0.001778436,0
131,42,"Close, frequent contact with patients and those exposed to patients with cough symptoms are associated with an increased risk of infection.",human,True,50.16,0.0,11.5,15.03,15.8,11.45,8,12.5,8,12.21,11th and 12th grade,139,21,5.57,0,1,0.86,0.0234,0.0204,0.993491232,0.003425035,0.003083653,1
25,4,"Implementing a pooling strategy, where samples were grouped into pools of five for PCR testing, effectively enhanced coronavirus testing capacity while maintaining sensitivity levels comparable to individual sample testing",chatgpt,False,-8.73,0.0,21.7,21.71,24.6,14.88,15,23.5,15,24.01,21st and 22nd grade,222,29,6.62,0,1,0.93,0.1707,0.0175,0.016074782,0.978989422,0.004935788,0
6,37,"During the initial phase of the COVID-19 pandemic, the United States health systems continued to perform all elective tests and procedures without any delay or cancellations. In fact, there was an increase in the number of brain MRI scans conducted during the early pandemic period.",chatgpt,False,48.64,0.0,12.1,13.06,14.7,11.07,12,14.75,12,14.33,14th and 15th grade,282,45,5.2,0,2,0.87,0.2412,0.0207,0.004057941,0.993824244,0.002117831,0
113,24,Children with serious underlying medical conditions had a 1.79 times higher risk of severe COVID-19 than for healthy children. Children with obesity were found to be 2.87 times more likely to get severe COVID-19 than healthy children. Children with underlying conditions also had a 2.81 times higher risk of death from COVID-19 compared to healthy children.,human,True,70.5,9.3,5.7,11.28,8.6,8.89,8,4.833333333,8,7.29,8th and 9th grade,357,53,5.42,3,3,0.57,0.012,0.0383,0.105568521,0.875800014,0.018631438,1
7,2,"During the early phase of the COVID-19 pandemic, there was a significant increase in the number of patients who were diagnosed with brain tumors, and the demand for brain MRI scans rose by 40%, leading to a shortage of medical professionals and equipment to perform the tests.",chatgpt,False,32.23,0.0,20.4,11.27,25.1,12.69,13,28.5,13,23.06,11th and 12th grade,276,46,4.85,1,1,0.78,0.0212,0.0173,0.003760797,0.993979454,0.002259771,0
150,61,"While Test A failed to detect SARS-CoV-2 antibodies in 37Â–84% of non-hospitalised patients, Test B detected antibodies in 79%. Test C detected antibodies in 95% of non-hospitalised patients. Antibody levels were initially low, increased over time, and increased as the disease got worse.",human,True,48.5,13.0,10.0,13.27,12.6,12.06,10,10.16666667,10,10.37,12th and 13th grade,288,40,5.67,4,3,0.72,0.0168,0.0302,0.994751155,0.002034464,0.0032144,1
